dataset,field,guidance,hint
flood-zone-1,reference,,
flood-zone-1,start-date,,
flood-zone-1,flood-zone-1,,
flood-zone-2,categories,,
flood-zone-2,documentation-url,,
flood-zone-2,end-date,,
flood-zone-2,entity,,
flood-zone-2,entry-date,,
flood-zone-2,geography,,
flood-zone-2,geometry,,
flood-zone-2,legislation,,
flood-zone-2,name,,
flood-zone-2,notes,,
flood-zone-2,organisation,,
flood-zone-2,point,,
flood-zone-2,reference,,
flood-zone-2,start-date,,
flood-zone-2,flood-zone-2,,
flood-zone-3,categories,,
flood-zone-3,documentation-url,,
flood-zone-3,end-date,,
flood-zone-3,entity,,
flood-zone-3,entry-date,,
flood-zone-3,geography,,
flood-zone-3,geometry,,
flood-zone-3,legislation,,
flood-zone-3,name,,
flood-zone-3,notes,,
flood-zone-3,organisation,,
flood-zone-3,point,,
flood-zone-3,reference,,
flood-zone-3,start-date,,
flood-zone-3,flood-zone-3,,
geography,categories,,
geography,documentation-url,,
geography,end-date,,
geography,entity,,
geography,entry-date,,
geography,geography,,
geography,geometry,,
geography,legislation,,
geography,name,,
geography,notes,,
geography,organisation,,
geography,point,,
geography,reference,,
geography,start-date,,
geometry,end-date,,
geometry,entity,,
geometry,entry-date,,
geometry,geojson,,
geometry,geometry,,
geometry,geometry-geom,,
geometry,point-geom,,
geometry,point,,
geometry,start-date,,
government-organisation,billing-authority,,
government-organisation,end-date,,
government-organisation,entity,,
government-organisation,entry-date,,
government-organisation,name,,
government-organisation,opendatacommunities-uri,,
government-organisation,parliament-thesaurus,,
government-organisation,prefix,,
government-organisation,reference,,
government-organisation,start-date,,
government-organisation,statistical-geography,,
government-organisation,twitter,,
government-organisation,website,,
government-organisation,website-url,,
government-organisation,wikidata,,
government-organisation,wikipedia,,
green-belt-core,end-date,,
green-belt-core,entity,,
green-belt-core,entry-date,,
green-belt-core,name,,
green-belt-core,reference,,
green-belt-core,start-date,,
green-belt-core,wikidata,,
green-belt-core,wikipedia,,
green-belt,end-date,,
green-belt,entity,,
green-belt,entry-date,,
green-belt,geometry,,
green-belt,green-belt-core,,
green-belt,local-authority-district,,
green-belt,name,,
green-belt,organisation,,
green-belt,reference,,
green-belt,start-date,,
guardianship-site-and-english-heritage-site,categories,,
